Frame Number,Player Coordinates,Resp Team,Ball Coordinates,Distance
1,"[151.2137021887119, 513.3453660124096]",0,"[135.23579927189303, 480.240594146025]",36.75893499470108
1,"[107.92402321058773, 382.5707096490524]",0,"[135.23579927189303, 480.240594146025]",101.41666258201784
1,"[166.20327420306194, 370.5361126208924]",1,"[135.23579927189303, 480.240594146025]",113.9914811304368
1,"[141.09609315065805, 193.58808005110689]",1,"[135.23579927189303, 480.240594146025]",286.71241145315406
1,"[192.7689035131959, 360.7064901850596]",1,"[135.23579927189303, 480.240594146025]",132.65918774586066
1,"[186.24941360775074, 378.46142305855096]",0,"[135.23579927189303, 480.240594146025]",113.84809403262285
1,"[126.48337309530169, 346.2532134640748]",1,"[135.23579927189303, 480.240594146025]",134.27294271738637
1,"[105.97142708185106, 258.1346460428596]",0,"[135.23579927189303, 480.240594146025]",224.02556921584488
1,"[99.98770972843971, 344.2846125195272]",0,"[135.23579927189303, 480.240594146025]",140.4509051465597
1,"[151.85472168970654, 383.7961791944753]",0,"[135.23579927189303, 480.240594146025]",97.8657946254768
1,"[210.07857803502102, 375.52980436099756]",0,"[135.23579927189303, 480.240594146025]",128.70816225240233
1,"[37.968767193674545, 362.7506188701156]",1,"[135.23579927189303, 480.240594146025]",152.5279312769926
1,"[181.66300902767836, 314.46473304344977]",0,"[135.23579927189303, 480.240594146025]",172.15435495510417
1,"[201.10682058385498, 376.3909498889467]",1,"[135.23579927189303, 480.240594146025]",122.97861627536172
1,"[195.295441133795, 201.77063748711765]",1,"[135.23579927189303, 480.240594146025]",284.87308988774925
1,"[176.9446685441338, 256.5512682237532]",0,"[135.23579927189303, 480.240594146025]",227.54459850220397
1,"[196.18653338101623, 286.8037490972103]",1,"[135.23579927189303, 480.240594146025]",202.81224078166528
1,"[240.68274369944555, 231.73960873641445]",1,"[135.23579927189303, 480.240594146025]",269.947768723238
2,"[151.51568438911494, 512.5064089261364]",0,"[129.86026443475714, 349.45809146965115]",164.48012353713253
2,"[106.19050753162425, 255.77855158943842]",0,"[129.86026443475714, 349.45809146965115]",96.62356640086193
2,"[108.9881240927225, 381.28863664248854]",0,"[129.86026443475714, 349.45809146965115]",38.063497585713684
2,"[241.14963624957713, 230.28399816547082]",1,"[129.86026443475714, 349.45809146965115]",163.05762415112864
2,"[166.57505079903112, 368.4280511239872]",1,"[129.86026443475714, 349.45809146965115]",41.32595923945886
2,"[210.17311729061274, 374.23128896282094]",0,"[129.86026443475714, 349.45809146965115]",84.04680629198177
2,"[100.23254733293986, 341.8598809602116]",0,"[129.86026443475714, 349.45809146965115]",30.58650721496447
2,"[141.3310661206838, 191.40016459266758]",1,"[129.86026443475714, 349.45809146965115]",158.47361780425075
2,"[201.28425340199107, 375.20545379516363]",1,"[129.86026443475714, 349.45809146965115]",75.9230720315819
2,"[152.19995029238285, 382.8237820328007]",0,"[129.86026443475714, 349.45809146965115]",40.15384005264314
2,"[186.2075982578088, 377.0520924144738]",0,"[129.86026443475714, 349.45809146965115]",62.7411421406185
2,"[126.74004210290384, 342.8775384637824]",1,"[129.86026443475714, 349.45809146965115]",7.282819870300534
2,"[181.7571640042328, 314.9938041540777]",0,"[129.86026443475714, 349.45809146965115]",62.29827674257645
2,"[140.59543932512798, 317.2719700242408]",0,"[129.86026443475714, 349.45809146965115]",33.92919677247834
2,"[38.37104328732919, 362.1312331662405]",1,"[129.86026443475714, 349.45809146965115]",92.36279611740223
2,"[195.50680228576624, 200.3786045088419]",1,"[129.86026443475714, 349.45809146965115]",162.89309796403919
2,"[196.7956173384063, 283.89653510003524]",1,"[129.86026443475714, 349.45809146965115]",93.69449899509777
2,"[207.9218419408481, 307.5938445679801]",0,"[129.86026443475714, 349.45809146965115]",88.57891990413701
2,"[144.5437580440761, 252.92439974397536]",1,"[129.86026443475714, 349.45809146965115]",97.6440403852827
3,"[127.11296368986676, 343.08440090103]",1,"[130.20542278687964, 348.0593631017407]",5.85777706687426
